# x y z r g b
-22 -6 0 180 210 230
-21 -6 -6 180 210 230
-21 -6 -5 180 210 230
-21 -6 -4 180 210 230
-21 -6 -3 180 210 230
-21 -6 -2 180 210 230
-21 -6 -1 180 210 230
-21 -6 0 180 210 230
-21 -6 1 180 210 230
-21 -6 2 180 210 230
-21 -6 3 180 210 230
-21 -6 4 180 210 230
-21 -6 5 180 210 230
-21 -6 6 180 210 230
-20 -6 -9 180 210 230
-20 -6 -8 180 210 230
-20 -6 -7 180 210 230
-20 -6 -6 180 210 230
-20 -6 -5 180 210 230
-20 -6 -4 180 210 230
-20 -6 -3 180 210 230
-20 -6 -2 180 210 230
-20 -6 -1 180 210 230
-20 -6 0 180 210 230
-20 -6 1 180 210 230
-20 -6 2 180 210 230
-20 -6 3 180 210 230
-20 -6 4 180 210 230
-20 -6 5 180 210 230
-20 -6 6 180 210 230
-20 -6 7 180 210 230
-20 -6 8 180 210 230
-20 -6 9 180 210 230
-19 -7 -5 180 210 230
-19 -7 -4 180 210 230
-19 -7 -3 180 210 230
-19 -7 -2 180 210 230
-19 -7 -1 180 210 230
-19 -7 0 180 210 230
-19 -7 1 180 210 230
-19 -7 2 180 210 230
-19 -7 3 180 210 230
-19 -7 4 180 210 230
-19 -7 5 180 210 230
-19 -6 -11 180 210 230
-19 -6 -10 180 210 230
-19 -6 -9 180 210 230
-19 -6 -8 180 210 230
-19 -6 -7 180 210 230
-19 -6 -6 180 210 230
-19 -6 -5 180 210 230
-19 -6 -4 180 210 230
-19 -6 -3 180 210 230
-19 -6 -2 180 210 230
-19 -6 -1 180 210 230
-19 -6 1 180 210 230
-19 -6 2 180 210 230
-19 -6 3 180 210 230
-19 -6 4 180 210 230
-19 -6 5 180 210 230
-19 -6 6 180 210 230
-19 -6 7 180 210 230
-19 -6 8 180 210 230
-19 -6 9 180 210 230
-19 -6 10 180 210 230
-19 -6 11 180 210 230
-18 -7 -8 180 210 230
-18 -7 -7 180 210 230
-18 -7 -6 180 210 230
-18 -7 -5 180 210 230
-18 -7 -4 180 210 230
-18 -7 -3 180 210 230
-18 -7 -2 180 210 230
-18 -7 -1 180 210 230
-18 -7 0 180 210 230
-18 -7 1 180 210 230
-18 -7 2 180 210 230
-18 -7 3 180 210 230
-18 -7 4 180 210 230
-18 -7 5 180 210 230
-18 -7 6 180 210 230
-18 -7 7 180 210 230
-18 -7 8 180 210 230
-18 -6 -12 180 210 230
-18 -6 -11 180 210 230
-18 -6 -10 180 210 230
-18 -6 -9 180 210 230
-18 -6 -8 180 210 230
-18 -6 -7 180 210 230
-18 -6 7 180 210 230
-18 -6 8 180 210 230
-18 -6 9 180 210 230
-18 -6 10 180 210 230
-18 -6 11 180 210 230
-18 -6 12 180 210 230
-17 -8 -5 180 210 230
-17 -8 -4 180 210 230
-17 -8 -3 180 210 230
-17 -8 -2 180 210 230
-17 -8 -1 180 210 230
-17 -8 0 180 210 230
-17 -8 1 180 210 230
-17 -8 2 180 210 230
-17 -8 3 180 210 230
-17 -8 4 180 210 230
-17 -8 5 180 210 230
-17 -7 -10 180 210 230
-17 -7 -9 180 210 230
-17 -7 -8 180 210 230
-17 -7 -7 180 210 230
-17 -7 -6 180 210 230
-17 -7 -5 180 210 230
-17 -7 -4 180 210 230
-17 -7 -3 180 210 230
-17 -7 -2 180 210 230
-17 -7 -1 180 210 230
-17 -7 0 180 210 230
