# x y z r g b
-1 -3 -10 242 205 170
0 -3 -10 242 205 170
1 -3 -10 242 205 170
-2 -2 -10 242 205 170
-1 -2 -10 242 205 170
0 -2 -10 242 205 170
1 -2 -10 242 205 170
2 -2 -10 242 205 170
-2 -1 -10 242 205 170
-1 -1 -10 242 205 170
0 -1 -10 242 205 170
1 -1 -10 242 205 170
2 -1 -10 242 205 170
-3 0 -10 242 205 170
-2 0 -10 242 205 170
-1 0 -10 242 205 170
0 0 -10 242 205 170
1 0 -10 242 205 170
2 0 -10 242 205 170
3 0 -10 242 205 170
-2 1 -10 242 205 170
-1 1 -10 242 205 170
0 1 -10 242 205 170
1 1 -10 242 205 170
2 1 -10 242 205 170
-2 2 -10 242 205 170
-1 2 -10 242 205 170
0 2 -10 242 205 170
1 2 -10 242 205 170
2 2 -10 242 205 170
-1 3 -10 242 205 170
0 3 -10 242 205 170
1 3 -10 242 205 170
0 -7 -9 205 145 120
-3 -6 -9 242 205 170
-2 -6 -9 242 205 170
-1 -6 -9 242 205 170
0 -6 -9 242 205 170
1 -6 -9 242 205 170
2 -6 -9 242 205 170
3 -6 -9 242 205 170
-4 -5 -9 242 205 170
-3 -5 -9 242 205 170
-2 -5 -9 242 205 170
-1 -5 -9 242 205 170
0 -5 -9 242 205 170
1 -5 -9 242 205 170
2 -5 -9 242 205 170
3 -5 -9 242 205 170
4 -5 -9 242 205 170
-5 -4 -9 242 205 170
-4 -4 -9 242 205 170
-3 -4 -9 242 205 170
-2 -4 -9 242 205 170
-1 -4 -9 242 205 170
0 -4 -9 242 205 170
1 -4 -9 242 205 170
2 -4 -9 242 205 170
3 -4 -9 242 205 170
4 -4 -9 242 205 170
5 -4 -9 242 205 170
-5 -3 -9 242 205 170
-4 -3 -9 242 205 170
-3 -3 -9 242 205 170
-2 -3 -9 242 205 170
-1 -3 -9 242 205 170
0 -3 -9 242 205 170
1 -3 -9 242 205 170
2 -3 -9 242 205 170
3 -3 -9 242 205 170
4 -3 -9 242 205 170
5 -3 -9 242 205 170
-5 -2 -9 242 205 170
-4 -2 -9 242 205 170
-3 -2 -9 242 205 170
-2 -2 -9 242 205 170
-1 -2 -9 242 205 170
0 -2 -9 242 205 170
1 -2 -9 242 205 170
2 -2 -9 242 205 170
3 -2 -9 242 205 170
4 -2 -9 242 205 170
5 -2 -9 242 205 170
-6 -1 -9 242 205 170
-5 -1 -9 242 205 170
-4 -1 -9 242 205 170
-3 -1 -9 242 205 170
-2 -1 -9 242 205 170
-1 -1 -9 242 205 170
0 -1 -9 242 205 170
1 -1 -9 242 205 170
2 -1 -9 242 205 170
3 -1 -9 242 205 170
4 -1 -9 242 205 170
5 -1 -9 242 205 170
6 -1 -9 242 205 170
-6 0 -9 242 205 170
-5 0 -9 242 205 170
-4 0 -9 242 205 170
-3 0 -9 242 205 170
-2 0 -9 242 205 170
-1 0 -9 242 205 170
0 0 -9 242 205 170
1 0 -9 242 205 170
2 0 -9 242 205 170
3 0 -9 242 205 170
4 0 -9 242 205 170
5 0 -9 242 205 170
6 0 -9 242 205 170
-6 1 -9 242 205 170
-5 1 -9 242 205 170
-4 1 -9 242 205 170
-3 1 -9 242 205 170
-2 1 -9 242 205 170
-1 1 -9 242 205 170
0 1 -9 242 205 170
1 1 -9 242 205 170
2 1 -9 242 205 170
3 1 -9 242 205 170
4 1 -9 242 205 170
5 1 -9 242 205 170
6 1 -9 242 205 170
-5 2 -9 242 205 170
-4 2 -9 242 205 170
-3 2 -9 242 205 170
-2 2 -9 242 205 170
-1 2 -9 242 205 170
0 2 -9 242 205 170
1 2 -9 242 205 170
2 2 -9 242 205 170
3 2 -9 242 205 170
4 2 -9 242 205 170
5 2 -9 242 205 170
-5 3 -9 242 205 170
-4 3 -9 242 205 170
-3 3 -9 242 205 170
-2 3 -9 242 205 170
-1 3 -9 242 205 170
0 3 -9 242 205 170
1 3 -9 242 205 170
2 3 -9 242 205 170
3 3 -9 242 205 170
4 3 -9 242 205 170
5 3 -9 242 205 170
-5 4 -9 242 205 170
-4 4 -9 242 205 170
-3 4 -9 242 205 170
-2 4 -9 242 205 170
-1 4 -9 242 205 170
0 4 -9 242 205 170
1 4 -9 242 205 170
2 4 -9 242 205 170
3 4 -9 242 205 170
4 4 -9 242 205 170
5 4 -9 242 205 170
-4 5 -9 242 205 170
-3 5 -9 242 205 170
-2 5 -9 242 205 170
-1 5 -9 242 205 170
0 5 -9 242 205 170
1 5 -9 242 205 170
2 5 -9 242 205 170
3 5 -9 242 205 170
4 5 -9 242 205 170
-3 6 -9 242 205 170
-2 6 -9 242 205 170
-1 6 -9 242 205 170
0 6 -9 242 205 170
1 6 -9 242 205 170
2 6 -9 242 205 170
3 6 -9 242 205 170
0 7 -9 242 205 170
-1 -9 -8 205 145 120
0 -9 -8 205 145 120
1 -9 -8 205 145 120
-3 -8 -8 205 145 120
-2 -8 -8 205 145 120
-1 -8 -8 205 145 120
0 -8 -8 205 145 120
1 -8 -8 205 145 120
2 -8 -8 205 145 120
3 -8 -8 205 145 120
-5 -7 -8 205 145 120
-4 -7 -8 205 145 120
-3 -7 -8 205 145 120
-2 -7 -8 205 145 120
-1 -7 -8 205 145 120
0 -7 -8 205 145 120
1 -7 -8 205 145 120
2 -7 -8 205 145 120
3 -7 -8 205 145 120
4 -7 -8 205 145 120
5 -7 -8 205 145 120
-6 -6 -8 242 205 170
-5 -6 -8 242 205 170
-4 -6 -8 242 205 170
-3 -6 -8 242 205 170
-2 -6 -8 242 205 170
-1 -6 -8 242 205 170
0 -6 -8 242 205 170
1 -6 -8 242 205 170
2 -6 -8 242 205 170
3 -6 -8 242 205 170
4 -6 -8 242 205 170
5 -6 -8 242 205 170
6 -6 -8 242 205 170
-6 -5 -8 242 205 170
-5 -5 -8 242 205 170
-4 -5 -8 242 205 170
-3 -5 -8 242 205 170
-2 -5 -8 242 205 170
-1 -5 -8 242 205 170
0 -5 -8 242 205 170
1 -5 -8 242 205 170
2 -5 -8 242 205 170
3 -5 -8 242 205 170
4 -5 -8 242 205 170
5 -5 -8 242 205 170
6 -5 -8 242 205 170
-7 -4 -8 242 205 170
-6 -4 -8 242 205 170
-5 -4 -8 242 205 170
-4 -4 -8 242 205 170
-3 -4 -8 242 205 170
-2 -4 -8 242 205 170
-1 -4 -8 242 205 170
0 -4 -8 242 205 170
1 -4 -8 242 205 170
2 -4 -8 242 205 170
3 -4 -8 242 205 170
4 -4 -8 242 205 170
5 -4 -8 242 205 170
6 -4 -8 242 205 170
7 -4 -8 242 205 170
-7 -3 -8 242 205 170
-6 -3 -8 242 205 170
-5 -3 -8 242 205 170
-4 -3 -8 242 205 170
-3 -3 -8 242 205 170
-2 -3 -8 200 105 85
-1 -3 -8 200 105 85
0 -3 -8 200 105 85
1 -3 -8 200 105 85
2 -3 -8 200 105 85
3 -3 -8 242 205 170
4 -3 -8 242 205 170
5 -3 -8 242 205 170
6 -3 -8 242 205 170
7 -3 -8 242 205 170
-7 -2 -8 242 205 170
-6 -2 -8 242 205 170
-5 -2 -8 242 205 170
-4 -2 -8 242 205 170
-3 -2 -8 242 205 170
-2 -2 -8 200 105 85
-1 -2 -8 200 105 85
0 -2 -8 200 105 85
1 -2 -8 200 105 85
2 -2 -8 200 105 85
3 -2 -8 242 205 170
4 -2 -8 242 205 170
5 -2 -8 242 205 170
6 -2 -8 242 205 170
7 -2 -8 242 205 170
-8 -1 -8 242 205 170
-7 -1 -8 242 205 170
-6 -1 -8 242 205 170
-5 -1 -8 242 205 170
-4 -1 -8 242 205 170
-3 -1 -8 200 105 85
-2 -1 -8 200 105 85
-1 -1 -8 200 105 85
0 -1 -8 200 105 85
1 -1 -8 200 105 85
2 -1 -8 200 105 85
3 -1 -8 200 105 85
4 -1 -8 242 205 170
5 -1 -8 242 205 170
6 -1 -8 242 205 170
7 -1 -8 242 205 170
8 -1 -8 242 205 170
-8 0 -8 242 205 170
-7 0 -8 242 205 170
-6 0 -8 242 205 170
-5 0 -8 242 205 170
-4 0 -8 242 205 170
-3 0 -8 200 105 85
-2 0 -8 200 105 85
-1 0 -8 200 105 85
0 0 -8 200 105 85
1 0 -8 200 105 85
2 0 -8 200 105 85
3 0 -8 200 105 85
4 0 -8 242 205 170
5 0 -8 242 205 170
6 0 -8 242 205 170
7 0 -8 242 205 170
8 0 -8 242 205 170
-8 1 -8 242 205 170
-7 1 -8 242 205 170
-6 1 -8 242 205 170
-5 1 -8 242 205 170
-4 1 -8 242 205 170
-3 1 -8 200 105 85
-2 1 -8 200 105 85
-1 1 -8 200 105 85
0 1 -8 200 105 85
1 1 -8 200 105 85
2 1 -8 200 105 85
3 1 -8 200 105 85
4 1 -8 242 205 170
5 1 -8 242 205 170
6 1 -8 242 205 170
7 1 -8 242 205 170
8 1 -8 242 205 170
-7 2 -8 242 205 170
-6 2 -8 242 205 170
-5 2 -8 242 205 170
-4 2 -8 242 205 170
-3 2 -8 242 205 170
-2 2 -8 200 105 85
-1 2 -8 200 105 85
0 2 -8 200 105 85
1 2 -8 200 105 85
2 2 -8 200 105 85
3 2 -8 242 205 170
4 2 -8 242 205 170
5 2 -8 242 205 170
6 2 -8 242 205 170
7 2 -8 242 205 170
-7 3 -8 242 205 170
-6 3 -8 242 205 170
-5 3 -8 242 205 170
-4 3 -8 242 205 170
-3 3 -8 242 205 170
-2 3 -8 200 105 85
-1 3 -8 200 105 85
0 3 -8 200 105 85
1 3 -8 200 105 85
2 3 -8 200 105 85
3 3 -8 242 205 170
4 3 -8 242 205 170
5 3 -8 242 205 170
6 3 -8 242 205 170
7 3 -8 242 205 170
-7 4 -8 242 205 170
-6 4 -8 242 205 170
-5 4 -8 242 205 170
-4 4 -8 242 205 170
-3 4 -8 242 205 170
-2 4 -8 242 205 170
-1 4 -8 242 205 170
0 4 -8 242 205 170
1 4 -8 242 205 170
2 4 -8 242 205 170
3 4 -8 242 205 170
4 4 -8 242 205 170
5 4 -8 242 205 170
6 4 -8 242 205 170
7 4 -8 242 205 170
-6 5 -8 242 205 170
-5 5 -8 242 205 170
-4 5 -8 242 205 170
-3 5 -8 242 205 170
-2 5 -8 242 205 170
-1 5 -8 242 205 170
0 5 -8 242 205 170
1 5 -8 242 205 170
2 5 -8 242 205 170
3 5 -8 242 205 170
4 5 -8 242 205 170
5 5 -8 242 205 170
6 5 -8 242 205 170
-6 6 -8 242 205 170
-5 6 -8 242 205 170
-4 6 -8 242 205 170
-3 6 -8 242 205 170
-2 6 -8 242 205 170
-1 6 -8 242 205 170
0 6 -8 242 205 170
1 6 -8 242 205 170
2 6 -8 242 205 170
3 6 -8 242 205 170
4 6 -8 242 205 170
5 6 -8 242 205 170
